Fecha,Pronostico,Limite_Inferior,Limite_Superior
2026-01-01,273249880000.0,228816972595.2,316420310630.39996
2026-02-01,261242110000.0,221630520524.8,297323048140.7999
2026-03-01,250202590000.0,216547534848.0,283391854182.39996
2026-04-01,248245100000.0,209015530291.2,283097106022.39996
2026-05-01,250416960000.0,211558520832.0,287735931699.19995
2026-06-01,257554220000.0,221835262361.6,292223901696.0
2026-07-01,261198270000.0,224452048486.4,299932490956.8
2026-08-01,269600640000.0,230475892736.0,312667874099.2
2026-09-01,277558760000.0,223665016012.8,329677561036.8
2026-10-01,284111600000.0,234873824051.2,330670589542.4
2026-11-01,290594600000.0,237675005952.0,339138070937.6
2026-12-01,288031400000.0,240634251673.6,341312173670.39996
