Fecha,Pronostico,Limite_Inferior,Limite_Superior
2026-01-01,455026781883.6776,422167150484.136,489620341650.69525
2026-02-01,255468656507.31213,236703582289.63577,275348305158.79645
2026-03-01,363103310826.4233,336800925723.75,393066381511.6932
2026-04-01,192706057396.78552,176090718535.33752,208183550123.78476
2026-05-01,211020464687.40195,193628714767.20493,230728995857.778
2026-06-01,239459353914.30927,216038259349.59933,264466988962.35162
2026-07-01,414596368983.1608,371389039523.36475,462588068072.6089
2026-08-01,293884467753.93536,258763046407.10046,331227338701.23895
2026-09-01,270239833816.24298,234845503233.76376,310451127852.6646
2026-10-01,292360253631.4637,248278223264.92926,339610020572.4961
2026-11-01,292957340170.1135,246232447906.70816,346673269417.64307
2026-12-01,284958550869.41956,234990873090.9916,347673478227.2009
