Fecha,Pronostico,Limite_Inferior,Limite_Superior
2026-01-01,490598170256.24457,0.0,1226495425640.6113
2026-02-01,284941750961.6906,0.0,712354377404.2266
2026-03-01,304794905380.86035,0.0,761987263452.1509
2026-04-01,184827967661.85593,0.0,462069919154.63983
2026-05-01,197074861491.6579,0.0,492687153729.1448
2026-06-01,248745100715.13077,0.0,621862751787.8269
2026-07-01,437798107034.4084,0.0,1094495267586.021
2026-08-01,280501957886.2189,0.0,701254894715.5471
2026-09-01,280037485979.347,0.0,700093714948.3674
2026-10-01,326108230808.7786,0.0,815270577021.9465
2026-11-01,285333636684.4786,0.0,713334091711.1964
2026-12-01,251203114785.30307,0.0,628007786963.2577
