Fecha,Pronostico,Limite_Inferior,Limite_Superior
2026-01-01,299398460000.0,232966070943.2703,471616429730.06006
2026-02-01,287827100000.0,206532348630.74042,404182350796.374
2026-03-01,299398460000.0,214835455442.43555,420431472313.2001
2026-04-01,225339700000.0,175339919777.00348,317344290878.1278
2026-05-01,225339700000.0,161694067166.11975,316434149954.48645
2026-06-01,264773660000.0,206452479416.39597,372878862883.8596
2026-07-01,299398460000.0,214835455442.43555,420431472313.2001
2026-08-01,287827100000.0,206532348630.74042,453389077163.3031
2026-09-01,287827100000.0,224427992961.366,453389077163.3031
2026-10-01,299398460000.0,214835455442.43555,420431472313.2001
2026-11-01,287827100000.0,224427992961.366,453389077163.3031
2026-12-01,264773660000.0,189990183006.4777,371809449245.65546
