Entidad,Recaudo_Total,Recaudo_Anual_Medio,CV_Interanual,Tendencia_Pct,N_Anios,Tipologia,R_Lag12,R_Lag1,IEP,ERS,Semaforo
ABEJORRAL,1016420728.0,254105182.0,22.43352323297636,65.87993408178508,4,Dependientes,0.2348569896255246,-0.12624994307449097,1.9396398315510366,39.420107443815425,VERDE
ABRIAQUI,125585311.0,31396327.75,28.096141296948456,-51.79411977567982,4,Criticos,0.5494087066409298,-0.15213713459863054,-2.1817003242860338,51.136817026866154,ROJO
ACALDIA MUNICIPAL,1360518689.0,340129672.25,16.127738010394495,-15.932787763417485,4,Dependientes,0.47024313753749175,-0.15535375563413834,0.46972547495137734,40.736526100850085,AMARILLO
ACANDI,561401143.0,140350285.75,20.758635221923587,33.969509463574425,4,Dependientes,0.3206778734534523,-0.13785139089319873,1.8519110158833112,38.505545343484634,VERDE
ACHI,893578043.0,223394510.75,10.023964008286649,15.361278970011577,4,Dependientes,0.33668593951265646,-0.14050242230261784,0.6714423895352073,41.19852190132466,NARANJA
AGUA DE DIOS,449426552.0,112356638.0,13.136484382788902,32.752555661197334,4,Dependientes,0.29673776721991296,-0.12776535785157292,1.011698470703184,40.85789724763295,AMARILLO
AGUACHICA,4611186231.0,1152796557.75,12.924754350112346,-10.772518946654532,4,Dependientes,0.44824972937003965,-0.1564673919446038,0.4334098164120925,40.66681272084307,AMARILLO
AGUADA,202859375.0,50714843.75,33.30320339748994,85.2318406285142,4,Dependientes,0.23442124014419727,-0.12876834835149806,2.0188377405959637,40.22000283931001,AMARILLO
AGUAZUL,1372113926.0,343028481.5,15.455668939413167,-7.448501036494837,4,Dependientes,0.4229297884994261,-0.15002672064305286,0.8036130526624864,40.3478658404224,AMARILLO
AGUSTIN CODAZZI,2295931566.0,573982891.5,15.60598748479706,-12.282630204492778,4,Dependientes,0.4587008267206654,-0.15288637648862735,0.40822802141441145,41.016524724996174,AMARILLO
ALBAN,108587025.0,27146756.25,18.18906663979193,-29.729667609919325,4,Criticos,0.51390962610824,-0.1565538185586304,-0.7921555285244006,45.02998828688864,ROJO
ALBAN SAN JOSE,385016638.0,96254159.5,17.367008982075287,36.18347776440768,4,Dependientes,0.2929335341072204,-0.13529267414687166,1.6025956681559275,39.45532638311379,VERDE
ALBANIA,124831497.0,31207874.25,22.51867068570657,-19.548603506693507,4,Criticos,0.5127920307919411,-0.1520855698784759,0.17394405675281255,41.92496633013219,NARANJA
ALCALA,898781499.0,224695374.75,21.311551984351837,65.41470600520228,4,Dependientes,0.1915797095166752,-0.10799548945668908,1.4160477755845833,42.30717206745798,ROJO
ALCALDIA CHIVATA,65591085.0,16397771.25,14.03836962184955,-5.557264985020449,4,Criticos,0.46702671342076313,-0.1527017940295559,0.3253696619446778,40.49650819617682,AMARILLO
ALCALDIA DE BUCARAMANGA,32005539611.0,8001384902.75,15.294572850851146,1.2111094164048337,4,Consolidados,0.43655010332745925,-0.1520619067704813,0.4853098417216194,40.68665000099377,AMARILLO
ALCALDIA DE GIRON,7013930532.660001,1753482633.1650002,14.22572623153556,25.62242073906659,4,Consolidados,0.632710488213792,-0.17887646922037173,1.2646659860561569,31.17973999070551,VERDE
ALCALDIA DE LETICIA,4821246872.0,1205311718.0,7.649293508135926,-4.949473228302257,4,Dependientes,0.4278248625636296,-0.1444778009645523,0.1634186711848833,40.98688928296713,AMARILLO
ALCALDIA DE MALAGA,1134269538.0,283567384.5,16.46031711169698,-9.379446810110844,4,Dependientes,0.4665341312829502,-0.12859195348322752,-0.14932773088561271,42.81264723289104,ROJO
ALCALDIA DE MATANZA,132143086.0,33035771.5,14.125481527591147,-6.096005355891265,4,Criticos,0.4356746337620363,-0.15100203478494525,0.46570637857988756,40.90252305774269,AMARILLO
ALCALDIA DE MONTERIA PENSIONADOS DOCENTES,20561802201.0,5140450550.25,17.770700971585146,-8.657420295159856,4,Consolidados,0.48347443863703093,-0.15847899224097525,0.28611666858985574,40.990996791791595,AMARILLO
ALCALDIA DE OICATA,51867168.0,12966792.0,13.356336510679249,-9.949415398966838,4,Criticos,0.4619655399627652,-0.15286914481193506,0.1671884150825741,41.278257108493484,NARANJA
ALCALDIA DE ORITO,1695608833.0,423902208.25,12.610769116675932,-18.079576210841783,4,Dependientes,0.4726103607902961,-0.15780267048928137,0.09992485741062715,41.45887792498445,NARANJA
ALCALDIA DE PAMPLONA,3283156381.32,820789095.33,14.12022857446049,-6.365129354818618,4,Dependientes,0.44335113351977234,-0.14795298901647916,0.26623013210450935,41.41386110387466,NARANJA
ALCALDIA DE REMOLINO,238902283.0,59725570.75,17.17723900151317,-19.579405358801026,4,Criticos,0.491527849490196,-0.1540376673830565,0.05359950740520401,41.98725324317352,NARANJA
ALCALDIA DE SOATA,349970319.0,87492579.75,15.390106286998067,-25.260440214645747,4,Criticos,0.45772143493847917,-0.15689098022575962,0.23971391559567118,42.19486007730952,ROJO
ALCALDIA DEL MUNICIPIO DE,2434854956.0,608713739.0,17.134031880818174,-13.210711513117335,4,Dependientes,0.4657753821966215,-0.15165829552611945,-0.07119490622421232,42.848918559345165,ROJO
